"","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","hand","gender","age","native","lang","id.Ibex","id","Item","Condition","Target","NPTime","audiodur","EarlyStartMessage","TooSlowMessage","Comments"
"22",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",5,0,"intro","NULL","PennController","3","_Header_","Start",1662561981199,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"23",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",5,0,"intro","NULL","PennController","3","_Header_","End",1662561981199,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"24",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",5,0,"intro","NULL","PennController","3","_Trial_","End",1662561997079,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"25",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","PennController","29","_Trial_","Start",1662561997083,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"26",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","PennController","29","_Header_","Start",1662561997083,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"27",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","PennController","29","_Header_","End",1662561997084,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"28",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","Text","fix","Print",NA,1662561997094,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"29",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","Timer","fixtime","Start","Start",1662561997094,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"30",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","Timer","fixtime","End","End",1662561998097,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"31",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","MouseTracker","mouse","Click","634:525",1662562002948,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"32",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","MouseTracker","mouse","Click","1066:95",1662562004041,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"33",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","MouseTracker","mouse","Move","x634y525w1280h720t5+0+0t195+2-2t16+9-7t17+18-16t16+41-40t17+104-85t17+128-93t17+74-53t17+43-44t17+11-45t16+0-31t16+0-21t17+2-12t17+0-2t17+1-2t16+3-6t17+8-16t18+16-29t15+0-2t50-1+3t16-9+21t17-10+32t17-3+11t16+0+2t34+0+2t16-1+2t17+0+1t16-1+0t17-1+1t50-1+1t84-1+0",1662562002944,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"34",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","Selector","unnamed-Selector","Selection","2",1662562004039,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","1;2"
"35",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",30,0,"experiment","NULL","PennController","29","_Trial_","End",1662562005030,"right","female","25","Tagalog","undefined","dave@hot.com","id",25,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"36",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","PennController","11","_Trial_","Start",1662562005037,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","NULL"
"37",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","PennController","11","_Header_","Start",1662562005037,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","NULL"
"38",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","PennController","11","_Header_","End",1662562005037,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","NULL"
"39",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","Text","fix","Print",NA,1662562005044,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","NULL"
"40",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","Timer","fixtime","Start","Start",1662562005044,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","NULL"
"41",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","Timer","fixtime","End","End",1662562006048,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","NULL"
"42",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","MouseTracker","mouse","Click","646:526",1662562008250,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","NULL"
"43",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","MouseTracker","mouse","Move","x646y526w1280h720t41+0-1t17+0-1t16+0-2t18+0-4t16-7-18t17-17-32t16-6-10t16-34-60t17-38-72t17-48-83t17-44-67t16-56-72t18-28-26t16-9-6t16-19-10t33-2+0t17-2+0t33-2+0t17-19-12t17-5-2t33-1+0t17-3+0t17-3+0t16-1+2t18+0+12t16+4+18t16+4+26t17+1+9t66+0+1",1662562008249,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","NULL"
"44",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","Selector","unnamed-Selector","Selection","1",1662562009172,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","1;2"
"45",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",12,0,"experiment","NULL","PennController","11","_Trial_","End",1662562009174,"right","female","25","Tagalog","undefined","dave@hot.com","id",7,"Match",1,500,2000,"false","false","NULL"
"46",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","PennController","17","_Trial_","Start",1662562009179,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","NULL"
"47",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","PennController","17","_Header_","Start",1662562009179,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","NULL"
"48",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","PennController","17","_Header_","End",1662562009179,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","NULL"
"49",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","Text","fix","Print",NA,1662562009180,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","NULL"
"50",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","Timer","fixtime","Start","Start",1662562009181,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","NULL"
"51",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","Timer","fixtime","End","End",1662562010186,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","NULL"
"52",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","MouseTracker","mouse","Click","636:512",1662562012694,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","NULL"
"53",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","MouseTracker","mouse","Move","x636y512w1280h720t143+4-6t17+13-12t17+25-24t16+53-52t17+90-105t17+15-19t16+39-83t17+3-26t16-4-31t17-14-22t17-30-26t17-38-21t16-58-17t17-32-4t16-39+0t17-63+0t18-74+2t16-54+0t25-23+0t8-1+2t16+0+2t17-4+18t16-8+16t17-6+4t17-8+4t16-4+1t18-4+3t16-8+4t17-12+3t33-2+0t17-11-5t16-50-13t17-70-17t16-51-14t17-36-8t17-5-1t16+1+1t16+6+6t17+9+8t17+1+1t34+2+1t17+12+4t16+37+15t16+17+6t17+4+1t133+2+2t17+2+3",1662562012693,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","NULL"
"54",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","Selector","unnamed-Selector","Selection","1",1662562013844,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","1;2"
"55",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",18,0,"experiment","NULL","PennController","17","_Trial_","End",1662562013846,"right","female","25","Tagalog","undefined","dave@hot.com","id",13,"Mismatch_Source",2,500,2000,"false","false","NULL"
"56",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","PennController","9","_Trial_","Start",1662562013849,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"57",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","PennController","9","_Header_","Start",1662562013849,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"58",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","PennController","9","_Header_","End",1662562013850,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"59",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","Text","fix","Print",NA,1662562013852,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"60",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","Timer","fixtime","Start","Start",1662562013852,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"61",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","Timer","fixtime","End","End",1662562014860,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"62",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","MouseTracker","mouse","Click","632:526",1662562017287,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"63",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","MouseTracker","mouse","Click","284:132",1662562018091,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"64",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","MouseTracker","mouse","Move","x632y526w1280h720t31+0+0t100+0-16t16-2-25t17-8-33t16-23-71t17-58-109t17-83-102t17-84-78t17-46-30t17-8-4t33+2+4t16+0+10t17-2+2t16-1+1t17-1+0t17+0+1t17-2+2t16-2+6t16-13+32t18-6+10t16-1+0t16-1+1t17-2+1t17-3+2t17-3+2t16-1+0t317+1+0",1662562017285,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"65",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","Selector","unnamed-Selector","Selection","1",1662562018090,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","1;2"
"66",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",10,0,"experiment","NULL","PennController","9","_Trial_","End",1662562018187,"right","female","25","Tagalog","undefined","dave@hot.com","id",5,"Match",1,500,2000,"false","false","NULL"
"67",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","PennController","25","_Trial_","Start",1662562018192,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"68",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","PennController","25","_Header_","Start",1662562018192,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"69",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","PennController","25","_Header_","End",1662562018193,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"70",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","Text","fix","Print",NA,1662562018195,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"71",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","Timer","fixtime","Start","Start",1662562018195,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"72",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","Timer","fixtime","End","End",1662562019198,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"73",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","MouseTracker","mouse","Click","648:522",1662562021525,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"74",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","MouseTracker","mouse","Move","x648y522w1280h720t256+0-3t17+7-9t17+23-31t17+88-89t16+99-83t16+98-96t17+58-67t17+10-22t16+1-9t17+2-3t50+0-1t16+3-3t18+5-4t16+4-5t16+1-3t50+3-1t17+1-1t50-1+3t17-3+5t16-1+3t16-1+1t34+0+2t17-1+7t16-1+5t17-1+1t150+0-1",1662562021523,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"75",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","Selector","unnamed-Selector","Selection","2",1662562022479,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","1;2"
"76",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",26,0,"experiment","NULL","PennController","25","_Trial_","End",1662562022481,"right","female","25","Tagalog","undefined","dave@hot.com","id",21,"Mismatch_noSource",1,500,2000,"false","false","NULL"
"77",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","PennController","20","_Trial_","Start",1662562022484,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"78",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","PennController","20","_Header_","Start",1662562022484,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"79",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","PennController","20","_Header_","End",1662562022484,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"80",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","Text","fix","Print",NA,1662562022485,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"81",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","Timer","fixtime","Start","Start",1662562022485,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"82",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","Timer","fixtime","End","End",1662562023486,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"83",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","MouseTracker","mouse","Click","640:526",1662562025936,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"84",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","MouseTracker","mouse","Click","262:106",1662562026852,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"85",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","MouseTracker","mouse","Move","x640y526w1280h720t90+0-4t17-10-21t18-24-36t15-40-77t17-44-87t18-46-77t15-30-40t17-10-10t83-4-4t18-2-2t49-1+0t17-5+0t16-28-10t17-53-32t16-24-12t17-7-2t17-2+0t33+0+2t18-1+2t16-1+1t166-7+0t17-30-9t16-8+0t18-1+0t99+0-1t50+0-1t49+0+0t18+1+0t150+2+2t16+9+7t16+33+23t17+53+43t17+84+63",1662562025935,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"86",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","Selector","unnamed-Selector","Selection","1",1662562026851,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","1;2"
"87",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",21,0,"experiment","NULL","PennController","20","_Trial_","End",1662562027129,"right","female","25","Tagalog","undefined","dave@hot.com","id",16,"Mismatch_Source",2,500,2000,"false","false","NULL"
"88",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","PennController","22","_Trial_","Start",1662562027136,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"89",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","PennController","22","_Header_","Start",1662562027136,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"90",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","PennController","22","_Header_","End",1662562027137,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"91",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","Text","fix","Print",NA,1662562027140,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"92",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","Timer","fixtime","Start","Start",1662562027141,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"93",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","Timer","fixtime","End","End",1662562028148,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"94",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","MouseTracker","mouse","Click","647:522",1662562031315,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"95",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","MouseTracker","mouse","Click","296:126",1662562032025,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"96",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","MouseTracker","mouse","Move","x647y522w1280h720t91+0-2t16+0-12t17-1-26t16-14-92t17-34-96t17-43-80t16-47-63t17-34-40t17-31-31t16-23-20t17-16-7t16-1-1t51-1+0t50-5+1t16-8+4t17-7+4t16-8+3t17-8+6t33-28+24t17-20+14t18-18+14t16-3+3t16-1+1",1662562031314,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"97",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","Selector","unnamed-Selector","Selection","1",1662562032024,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","1;2"
"98",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",23,0,"experiment","NULL","PennController","22","_Trial_","End",1662562032548,"right","female","25","Tagalog","undefined","dave@hot.com","id",18,"Mismatch_Source",2,500,2000,"false","false","NULL"
"99",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",20,0,"experiment","NULL","PennController","19","_Trial_","Start",1662562032553,"right","female","25","Tagalog","undefined","dave@hot.com","id",15,"Mismatch_Source",2,500,2000,"false","false","NULL"
"100",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",20,0,"experiment","NULL","PennController","19","_Header_","Start",1662562032553,"right","female","25","Tagalog","undefined","dave@hot.com","id",15,"Mismatch_Source",2,500,2000,"false","false","NULL"
"101",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",20,0,"experiment","NULL","PennController","19","_Header_","End",1662562032554,"right","female","25","Tagalog","undefined","dave@hot.com","id",15,"Mismatch_Source",2,500,2000,"false","false","NULL"
